Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial ,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2 ,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV
10/28/2020,DESERT,,LH,netgun:QS,LH211,P619,,47341,149.940,62,M,1.5,,102.8,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH212,P1013,,47342,149.950,61,F,2,,103.2,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/28/2020,DESERT,,LH,netgun:QS,LH213,P1003,,47345,149.980,68,F,5,,102,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE217,P1022,,47307,149.610,69,F,6+,,102.9,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE218,P444,,47343,149.960,64,F,3,,104.5,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE219,P764,,45855,149.800,105,M,7,,102.7,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE220,P768,,47333,149.870,46,?F,1.5,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE221,P1010,,47312,,62,F,4+,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE222,P909,,N/A,,50,M,1.5,,101.8,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE223,P698,,47335,149.890,,M,7,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE186,R109,,47326,,62,F,4,,,,,,,1,,1,1,1,,,,,,,,,,,"LEFT OLD ET, TUBES MAY BE LABELED P767",,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE193,R113,,47344,,63,F,6+,,105,,,,,1,,1,1,1,,,,,,,,,,,"LEFT OLD ET, TUBES MAY BE LABELED P1014",,,,,,,,
10/26/2020,DESERT,,PE,netgun:QS,PE203,R284,,47329,,69,F,7+,,,,,,,1,,1,1,1,,,,,,,,,,,"LEFT OLD ET, TUBES MAY BE LABELED P762",,,,,,,,
10/29/20,desert,,LA,netgun:QS,LA105,P363,,47318,149.720,,F,3,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/29/20,desert,,LA,netgun:QS,LA106,P770,,47330,149.840,,F,5,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/29/20,desert,,LA,netgun:QS,LA107,P1023,,47314,149.680,,F,3,,102.9,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/29/20,desert,,LA,netgun:QS,LA108,P1002,,47319,149.730,,F,2,,103,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/29/20,desert,,LA,netgun:QS,LA109,P1015,,47320,149.740,,F,4,,102.7,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA110,P762,,47354,150.070,67,F,10+,,101.6,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA111,P1018,,47327,149.810,63,F,4,,103.1,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA112,P1014,,47338,149.910,65,F,5+,,102.2,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA113,P767,,47352,150.050,81,F,6+,,102.6,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA114,P428,,47316,149.700,62,F,2,,102,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA115,P426,,47324,149.780,69,F,6,,101.3,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA116,O49,n,,n/a,,F,1,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
10/30/20,desert,,LA,netgun:QS,LA117,O32,n,,n/a,,M,1,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
