AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2,Year
G579,2017-15552,2017-12-05,2017-12-08,NA,1,86.671,NA,No PCR Result in Report,NA,SAE191,2017-12-02,NA,SA,NA,F,1,NA,NA,NA,Y,NA
O27,20-13367,2020-04-28,2020-06-30,0,0,-3.902,NA,NA,NA,RG54,2020-04-17,NA,RGG,NA,M,6,NA,NA,NA,A,NA
O28,20-13367,2020-04-28,2020-06-30,1,1,78.24,NA,NA,NA,RG56,2020-04-22,NA,RGG,NA,F,5,NA,NA,NA,A,NA
O29,20-15867,2020-05-18,2020-06-30,1,1,67.008,NA,NA,NA,RG44,2020-05-08,NA,RGG,NA,F,2,NA,NA,NA,Y,NA
O31,20-11847,2020-04-14,2020-06-30,1,1,56.373,NA,NA,NA,RG33,2020-04-08,NA,RGG,NA,M,5,NA,NA,NA,A,NA
O32,2020-14764,2020-11-02,2020-11-13,0,0,-28.025,NA,NA,NA,LA117,0020-10-30,NA,LA,NA,M,1,NA,NA,NA,Y,NA
O38,20-15867,2020-05-18,2020-06-30,1,0.5,47.707,NA,NA,NA,RG52,2020-05-08,NA,RGG,NA,F,4,NA,NA,NA,A,NA
O39,20-15867,2020-05-18,2020-06-30,NA,0,29.007,NA,NA,NA,RG53,2020-05-08,NA,RGG,NA,M,3,NA,NA,NA,A,NA
O46,20-15867,2020-05-18,2020-06-30,0,0,2.894,NA,NA,NA,RG58,2020-05-13,NA,RGG,NA,M,6,NA,NA,NA,A,NA
O47,20-15867,2020-05-18,2020-06-30,1,1,79.964,NA,NA,NA,RG31,2020-05-13,NA,RGG,NA,M,4,NA,NA,NA,A,NA
O48,2020-14764,2020-11-02,2020-11-13,0,0,-13.08,NA,NA,NA,LA118,0020-10-30,NA,LA,NA,M,1,NA,NA,NA,Y,NA
O49,2020-14842,2020-11-04,2020-11-13,0,0,-21.011,NA,NA,NA,LA116,0020-10-30,NA,LA,NA,F,1,NA,NA,NA,Y,NA
