AnimalID,Received_Date,PCR_Result,ELISA_Result,ELISA_Level,Notes,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Preg,Age2,Year,cat
O46,2020-05-18,0,0,2.894,NA,RG58,2020-05-13,NA,RGG,NA,M,6,NA,A,2020,A(M)
O47,2020-05-18,1,1,79.964,NA,RG31,2020-05-13,NA,RGG,NA,M,4,NA,A,2020,A(M)
O48,2020-11-02,0,0,-13.08,NA,LA118,20-10-30,NA,LA,NA,M,1,NA,Y,2020,Y(M)
O49,2020-11-04,0,0,-21.011,NA,LA116,20-10-30,NA,LA,NA,F,1,NA,Y,2020,Y(F)
P1002,2020-11-04,0,0,-23.033,NA,LA108,20-10-29,NA,LA,NA,F,2,NA,Y,2020,Y(F)
P1003,2020-11-02,0,0,-33.854,NA,LH213,2020-10-28,NA,LH,68,F,5,NA,A,2020,A(F)
P1004,2020-11-02,0,1,85.997,NA,SAC054,2020-10-29,CAB,SAC,66,F,6,NA,A,2020,A(F)
P1005,2020-11-02,0,1,86.305,NA,SAC056,2020-10-29,CAB,SAC,62,F,4,NA,A,2020,A(F)
P1006,2020-11-02,0,1,70.549,NA,SAC043,2020-10-29,CAB,SAC,62,F,4,NA,A,2020,A(F)
P1007,2020-11-04,0,0,33.889,NA,SAC042,2020-10-29,CAB,SAC,64,F,3,NA,A,2020,A(F)
P1008,2020-11-02,0,0,-15.694,NA,LH204,2020-10-28,NA,LH,90,M,6,NA,A,2020,A(M)
P1009,2020-11-02,0,0,-19.956,NA,LH205,2020-10-28,NA,LH,80,F,6,NA,A,2020,A(F)
P1010,2020-11-02,0,0,-20.565,NA,PE221,2020-10-26,NA,PE,62,F,4,NA,A,2020,A(F)
P1011,2020-11-02,0,1,60.645,NA,SAC048,2020-10-29,CAB,SAC,62,F,4,NA,A,2020,A(F)
P1012,2020-11-02,0,1,83.992,NA,SAC046,2020-10-29,CAB,SAC,61,F,6,NA,A,2020,A(F)
P1013,2020-11-02,0,0,-25.533,NA,LH212,2020-10-28,NA,LH,61,F,2,NA,Y,2020,Y(F)
P1015,2020-11-02,0,0,-7.26,NA,LA109,20-10-29,NA,LA,NA,F,4,NA,A,2020,A(F)
P1016,2020-11-04,1,1,54.419,NA,SAC039,2020-10-29,CAB,SAC,62,F,6,NA,A,2020,A(F)
P1017,2020-11-02,0,1,57.284,NA,SAC049,2020-10-29,CAB,SAC,47,F,1,NA,Y,2020,Y(F)
P1018,2020-11-04,0,1,84.219,NA,LA111,20-10-30,NA,LA,63,F,4,NA,A,2020,A(F)
P1019,2020-11-02,0,0.5,42.745,NA,SAC047,2020-10-29,CAB,SAC,67,F,6,NA,A,2020,A(F)
P1020,2020-11-02,0,1,81.256,NA,SAC052,2020-10-29,CAB,SAC,56,F,3,NA,A,2020,A(F)
P1021,2020-11-02,0,0,-32.953,NA,LH208,2020-10-28,NA,LH,58,F,3,NA,A,2020,A(F)
P1022,2020-11-02,0,0,-20.922,NA,PE217,2020-10-26,NA,PE,69,F,6,NA,A,2020,A(F)
P1023,2020-11-04,0,1,63.973,NA,LA107,20-10-29,NA,LA,NA,F,3,NA,A,2020,A(F)
P1024,2020-11-02,0,1,62.861,NA,SAC044,2020-10-29,CAB,SAC,52,F,1,NA,Y,2020,Y(F)
P1025,2020-11-02,0,0,29.668,NA,SAC035,2020-10-29,CAB,SAC,53,F,NA,NA,NA,2020,NA(F)
